Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37690565,The Brain in Minutes,Rita Carter,"Carter, Rita",,"=""1635061067""","=""9781635061062""",0,Quercus,Paperback,416,2018,2018,,2024/05/08,to-read,to-read (#408),to-read,,,,0,0
27416343,Architecture in Minutes,Susie Hodge,"Hodge, Susie",,"=""1681443511""","=""9781681443515""",0,Quercus,Paperback,416,2016,2016,,2024/05/08,to-read,to-read (#407),to-read,,,,0,0
31934685,Quantum Physics in Minutes,Gemma Lavender,"Lavender, Gemma",,"=""1681441748""","=""9781681441740""",0,Quercus,Paperback,416,2017,2017,,2024/05/08,to-read,to-read (#406),to-read,,,,0,0
25862291,Politics in Minutes,Marcus Weeks,"Weeks, Marcus",,"=""1681444798""","=""9781681444796""",0,Quercus,Paperback,416,2016,2016,,2024/05/08,to-read,to-read (#405),to-read,,,,0,0
25862293,Art in Minutes,Susie Hodge,"Hodge, Susie",,"=""168144481X""","=""9781681444819""",0,Quercus,Paperback,416,2016,2016,,2024/05/08,to-read,to-read (#404),to-read,,,,0,0
31934683,Religion in Minutes,Marcus Weeks,"Weeks, Marcus",,"=""1681441683""","=""9781681441689""",0,Quercus,Paperback,400,2017,2017,,2024/05/08,to-read,to-read (#403),to-read,,,,0,0
25271541,Psychology in Minutes: 200 Key Concepts Explained in an Instant,Marcus Weeks,"Weeks, Marcus",,"=""1848667221""","=""9781848667228""",0,Greenfinch,Kindle Edition,433,2015,2015,,2024/05/08,to-read,to-read (#402),to-read,,,,0,0
52661559,Build a Career in Data Science,Emily  Robinson,"Robinson, Emily",Jacqueline Nolis,"=""1617296244""","=""9781617296246""",0,MEAP,Hardcover,250,2020,,,2024/05/08,to-read,to-read (#401),to-read,,,,0,0
11862075,Time Travel and Warp Drives: A Scientific Guide to Shortcuts through Time and Space,Allen Everett,"Everett, Allen",Thomas Roman,"=""0226224988""","=""9780226224985""",5,University of Chicago Press,Hardcover,280,2011,2011,2024/04/30,2021/03/01,bought,bought (#47),read,,,,1,1
940302,A World History of Art,Hugh Honour,"Honour, Hugh",John Fleming,"=""0131945696""","=""9780131945692""",0,Discontinued 3PD,Hardcover,870,2005,1982,,2024/04/29,to-read,to-read (#400),to-read,,,,0,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",5,Signet Classics,Paperback,118,2002,1895,2023/12/14,2021/04/01,bought,bought (#175),read,"Wells bu kitapta zaman makinesinin zaman boyutunda yer değiştirirken yer yüzünde olduğu yerde kalması, yani diğer 3 boyutta hareket etmemesi gerektiğini söylüyor. Evet bu doğru, ancak Wells’in göz ardı ettiği bir gerçek Dünya’nın sabit olmaması. Yani zaman makinesi 3 boyutlu uzaydaki konumunu korurken dünya ve güneş sistemi hareket edecektir. Bu durumda eğer çok ileri veya geçmiş bir zamana gidilirse zaman makinesinin örneğin Mars’ta bir yere gidebilme ihtimali var.",,,1,0
34920445,Geschichte eines Untergangs (Klassiker der Weltliteratur) (German Edition),Stefan Zweig,"Zweig, Stefan",,"=""1545359555""","=""9781545359556""",0,CreateSpace Independent Publishing Platform,Paperback,36,2017,1910,,2024/04/24,to-read,to-read (#399),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,Tor Books,Hardcover,472,2014,2006,,2024/04/21,to-read,to-read (#398),to-read,,,,0,0
4182144,Twilight of the Idols,Friedrich Nietzsche,"Nietzsche, Friedrich",Duncan Large,"=""019955496X""","=""9780199554966""",0,Oxford University Press,Paperback,124,2009,1889,,2024/04/14,to-read,to-read (#397),to-read,,,,0,0
12605157,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,"Guillebeau, Chris",,"=""0307951529""","=""9780307951526""",0,Crown Currency,Hardcover,268,2012,2012,,2024/04/12,to-read,to-read (#396),to-read,,,,0,0
20758057,Empire of Cotton: A Global History,Sven Beckert,"Beckert, Sven",,"=""0375414142""","=""9780375414145""",0,Knopf,Hardcover,640,2014,2014,,2024/04/12,to-read,to-read (#395),to-read,,,,0,0
187661,"A History of Capitalism, 1500-2000",Michel Beaud,"Beaud, Michel",,"=""1583670416""","=""9781583670415""",0,Monthly Review Press,Paperback,356,2002,1981,,2024/04/12,to-read,to-read (#394),to-read,,,,0,0
